Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-554,1735.71,3822.52,3967.43,0.1,0.03,0.84,0.01,0.71,29.28,5.85,15.8,10.75,0.25,6.48,1.7,0.01,0.01,2.63,SSF,POT,0.19
S-1094,1835.95,4311.49,4312.87,0.361534238,0.03,1.3,0.057969923,0.01,26.32,9.83,40.25,5.25,0.58,7.24,2.04,0.02,0.07,2.53,SSF,POT,0.27
S-501,2982.08,3721.6,4051.83,0.19,0.02,0.96,0.99,0.02,29.04,22.61,22.62,3.43,1.17,4.74,0.71,0.13,3.36,2.7,PRI,POT,0.51
S-1257,2651.93,3462.46,3804.51,0.03,0,0.7,0.64,0.02,24.27,20.81,18.15,2.63,0.45,6.5,0.71,0.06,3.08,2.67,PRI,POT,0.38
S-1138,3475.05,4188.13,4330.87,0.097170528,0.01,2.4,0.052819601,4.1,23.45,9.51,25.03,7.16,0.62,6.8,1.97,0.08,2.85,2.69,PRI,POT,0.46
S-1020,1549.56,3789.98,3954.82,0.096416257,0.03,0.88,0.042522236,0.5,26.88,8.36,11.93,8.99,0.9,7.02,2.14,0.01,0.05,2.62,SSF,POT,0.31
S-1088,2430.33,3987.03,4010.54,0.022372507,0,0.75,0.790169179,0.05,16.57,12.31,38.59,2.18,0.48,11.82,1.12,0.05,4.8,2.68,PRI,POT,0.41
S-431,1684.94,3900.23,4062.43,0.64,0.1,0.49,0.03,0.33,28.04,4.55,19.54,12.99,1.05,6.65,1.7,0.01,0.04,2.62,SSF,POT,0.17
S-1248,3893.53,3812.33,4274.41,0.37,0.04,1.47,0.15,0.95,30.07,7.37,31.51,15.09,0.22,4.62,1.1,0,0.06,2.54,SSF,POT,0.2
S-722,1832.46,3877.1,3973.29,0.12,0.02,0.6,0.06,0.67,26.57,5.08,13.24,8.48,0.77,6.81,1.56,0.01,0.01,2.61,SSF,POT,0.19
S-427,2945.79,3839.34,4103.85,0.03,0,0.85,0.57,0.01,28.24,18.9,21.89,1.8,0.62,5.96,0.78,0.09,3.72,2.67,PRI,POT,0.34
S-456,3029.5,3818.06,4104.39,0.02,0,1.24,0.34,0.01,25.81,17.97,23.58,1.83,0.55,4.53,0.47,0.05,3.02,2.68,PRI,POT,0.43
S-1216,4149.77,3951.44,4461.09,0.71,0.05,0.71,0.12,2.21,28.35,6.38,32.49,18.08,0.54,4.36,1.84,0.07,0.05,2.56,SSF,POT,0.1
S-306,3270.46,3279.98,4159.18,0,0,2.87,0,1.1,25.1,2.66,12.75,21.81,0.52,10.64,2.97,0.01,0.04,2.66,SSF,CLO-SER,0.11
S-258,3446.85,3489.4,4295.85,0.11,0.08,1.68,0.2,1.08,25.72,8.71,35.28,16.38,0.48,1.5,2.64,0.02,0.03,2.49,SSF,POT,0.2
S-733,1558.53,3650.02,4040.56,0.16,0.03,0.42,0.09,0.1,25.66,6.4,12.6,9.58,2.41,7.52,1.26,0.01,0.05,,SSF,POT,0.26
S-546,2656.8,3843.04,4024.42,0.14,0.01,0.83,0.29,0.18,24.19,15.84,32.35,2.57,0.23,4.27,0.98,0.01,0.01,2.55,SSF,POT,0.29
S-574,2883.43,3734.81,3986.49,0.02,0,1.2,0.65,0.45,27.58,19.95,26.68,4.25,0.53,3.05,0.88,0.07,3.19,2.67,PRI,POT,0.66
S-278,3336.71,3377.25,4241.98,0.1,0.05,1.61,0.12,1.21,32.99,5.18,22.04,14.76,0.8,1.5,2.1,0.04,0.03,2.6,SSF,POT,0.24
S-715,3035.72,3152.07,3971.3,0.01,0,2.32,0.01,0.03,27.85,10.25,12.82,7.99,0.24,5.83,1.37,0.17,2.48,2.69,PRI,POT,0.29
S-404,2935.16,3646.01,4042.37,0.02,0.01,1.15,0.79,0.08,21.32,18.59,29.37,3.76,0.81,5.43,1.05,0.08,3.62,2.69,PRI,POT,0.33
S-32,2036.55,4015.82,4184.89,0.79,0.06,0.43,0.06,1.35,28.61,9.57,19.03,5.23,1.51,7.03,1.65,0,0.01,2.61,SSF,POT,0.29
S-754,2962.95,3375.54,3747.9,0.07,0.01,0.53,1.04,0.03,27.91,16.55,10.1,3.18,0.85,10.39,1.01,0.2,2.54,,PRI,POT,0.4
S-1258,2652.39,3453.17,3776.23,0.01,0,0.73,0.53,0.04,25.49,20.47,18.49,2.89,0.45,5.19,0.52,0.06,2.88,2.67,PRI,POT,0.36
S-1285,3595.54,3581.52,4222.99,0.01,0,1.62,0.09,0.24,26.06,9.11,20.5,9.48,0.54,5.57,1.33,0.17,4.3,2.7,PRI,POT,0.34
S-219,3003,4055.35,4364.15,0.03,0.03,2.86,0.62,0.03,38.75,19.67,15.04,4.56,1.32,1.71,1.96,0.08,5.39,2.67,SSD,POT,0.38
S-310,2588.32,4024.17,4212.44,0.65,0.04,1.48,0.09,0.97,30.2,10.73,21.38,9.35,0.82,5.4,1.76,0,0.02,2.64,SSF,POT,0.23
S-142,3257.66,3976.76,4302.79,0.21,0.03,0.38,0.23,0.01,25.15,17.43,32.35,0.89,0.38,8.09,0.63,0,0.02,2.54,SSF,POT,0.34
S-369,3227.61,3399.93,4121.41,0.12,0.06,3.28,0.28,0.02,30.34,11.5,20.35,17.84,0.62,2.86,1.42,0.01,0.04,2.57,SSF,POT,0.23
S-344,2455.95,3852.55,4029.7,0.62,0.09,0.82,0.55,0.18,17.28,29.6,28.2,5.78,0.54,7.44,1.09,0.09,0.02,2.54,SSF,POT,0.27
S-694,2313.66,3836.88,3980.86,0.02,0,1.05,0.66,0.03,22.33,18.32,28.74,3.9,0.61,6.13,0.46,0.04,9.07,2.67,SSD,POT,0.34
S-480,3239.95,3322.3,4040.65,0.01,0,2.39,0.11,0.14,41.09,15.91,26.25,9.9,0.66,0.25,0.32,0.07,1.29,2.64,PRI,CLO-SER,0.38
S-1269,3933.81,3969.08,4271.74,0.33,0.03,0.77,0.09,1.29,36.08,6.04,20.6,19.65,0.6,1.9,2.16,0,0.06,2.57,SSF,POT,0.23
S-509,3295.45,3438.43,3998.99,0,0,1.91,0.02,0.11,25.25,12.12,21.39,10.6,0.68,4.17,1.52,0.03,5.82,2.76,PRI,POT,0.31
S-291,3344.59,3385.05,4215.68,0.02,0,1.25,0.03,0.51,25.87,7.78,21.26,11.73,0.28,4.6,1.32,0.05,0.04,2.59,SSF,POT,0.28
S-468,2110.25,3987.07,4063.56,0.59,0.11,1.5,0.05,0.99,33.02,10.3,20.53,12.61,1.09,5.16,2.26,0,0.03,2.62,SSF,POT,0.16
S-98,1660.63,3668.89,4056.65,0.72,0.03,0.26,0.17,2.45,33.88,2.75,13.24,8.72,0.56,8.68,2.35,0.01,0.06,2.62,SSF,POT,0.21
S-743,3046.3,3924.69,4191.54,0.14,0.01,0.71,0.12,0.08,23.51,13.54,28.04,3.21,3.28,5.42,0.86,0.01,0.07,,SSD,POT,0.27
S-1081,3933.8,3975.53,4246.81,0.001330134,0,0.85,0.002031311,0.67,29.22,9.53,14.69,9,0.47,5.01,2.16,0.14,2.82,2.7,SSD,POT,0.49
S-969,3029.78,3791.8,3999.37,0.023103699,0,0.9,0.862760872,0.15,30.28,19.24,12.79,3.77,0.87,6.89,1.29,0.04,3.01,2.69,PRI,POT,0.52
S-1198,4181.82,3329.65,4678.21,0.357835473,0.1,0.54,0.009939643,1.99,24.97,1.53,12.85,10.76,1.38,9.14,6.73,0.01,0.15,2.63,SSF,AR,0.16
S-103,3639.77,3964.59,4335.38,0.02,0,0.98,0.24,0.15,23.94,11.76,26.06,3.5,0.59,10.52,2.05,0.06,4.69,2.8,SSD,POT,0.34
S-471,2041.04,4390.29,4445.11,0.34,0.04,0.66,0.05,1.52,27.99,6.24,18.58,8.38,0.69,5.28,1.09,0.01,0.03,2.62,SSF,POT,0.21
S-1223,3848.78,3973.67,4424.38,0.95,0.02,1.39,0.19,1.42,22.52,2.09,24.73,21.84,0.63,4.48,4.98,0,0.02,2.51,SSF,POT,0.05
S-72,3641.65,3494.78,4419.58,0.23,0.03,1.47,0.07,3.32,47.27,5.57,20.71,8.24,0.99,2.71,0.88,0,0.03,2.52,SSF,POT,0.28
S-700,2594.01,3486.6,3935.72,0.01,0,0.68,0.43,0.25,26.42,19.07,22.59,3.35,0.25,5.95,0.7,0.05,3.06,2.67,PRI,POT,0.39
S-488,2485.3,3770.04,4065.91,0.15,0.01,0.72,0.08,0.47,47.58,15.48,19.23,5.59,0.47,7.99,0.44,0,0.01,2.59,SSF,POT,0.26
S-61,2633.43,4093.26,4229.29,0.27,0.04,0.44,0.04,1.9,25.21,10.77,26.64,4.55,0.98,5,3.89,0.02,0.03,2.57,SSD,POT,0.24
S-1036,3815.85,3862.35,4391.59,0.647954527,0.11,1.26,0.055388313,1.04,30.93,3.99,31.65,17.29,0.66,4.68,2.23,0,0.03,2.56,SSF,CLO-SER,0.17
S-78,3383.88,4109.87,4420.01,0.33,0.04,0.57,0.07,0.38,23.04,13.73,26.81,2.06,1.01,6.26,1.63,0,0.02,2.58,SSF,POT,0.33
S-289,4085.35,3498.91,4676.32,0.25,0.06,0.41,0,5.1,34.29,1.09,15.61,18.88,0.49,1.53,6.15,0.03,0.09,2.64,SSF,AR,0.12
S-312,2738.37,3357.72,3808.22,0,0,0.3,0.39,0.05,27.42,34.37,23.25,2.29,0.16,4.16,0.27,0.06,0.87,2.61,PRI,POT,0.49
S-465,1550.08,3814.26,4050.54,0.8,0.07,0.58,0.05,2.21,29.82,3.57,11.92,12.85,0.66,7.13,2.16,0,0.04,2.64,SSF,POT,0.18
S-571,2280.12,3847.46,3962.41,0.03,0,0.75,0.77,0.02,29.45,19.45,19.44,2.1,0.74,5.8,0.89,0.08,3.21,2.64,PRI,POT,0.39
S-50,2334.03,4013.61,4174.53,0.44,0.04,0.47,0.09,1.57,24.18,9.17,18.43,4.18,1.24,11.41,2.7,0,0.01,2.64,SSF,POT,0.18
S-1288,3462.47,3621.33,4195.34,0.01,0,1.74,0.48,0.05,28.03,14.8,19.15,9.23,0.7,3.48,1.34,0.11,5.11,2.68,PRI,POT,0.37
S-516,1735.68,3817.22,3996.96,0.14,0.04,0.84,0.04,1.01,30.41,5.7,19.38,13.02,0.67,6.86,2.09,0.1,0.1,2.62,SSF,POT,0.16
S-1090,2429.95,3973.71,3938.26,0.008592283,0,1.38,0.615382753,0.61,24.43,27.42,24.45,4.03,0.5,3.73,0.56,0.14,8.39,2.66,PRI,POT,0.5
S-1068,3933.65,3923.32,4442.46,0.227375978,0.02,0.98,0.069555379,1.06,32.16,7.42,19.97,11.71,1.63,4.48,1.97,0.01,0.03,2.58,SSF,POT,0.32
S-986,2307.55,3889.86,3945.24,0.090864715,0.06,1.68,2.956640368,0.54,24.33,26.68,22.89,6.8,0.73,4.18,0.67,0.04,4.7,2.67,PRI,POT,0.45
S-987,2307.58,3887.85,3940.12,0.048535544,0.03,1.47,1.509871944,0.47,24.58,23.27,19.52,8.66,0.81,5.69,0.88,0.04,8.12,2.68,PRI,POT,0.38
S-11,1757.46,3751.69,4081.56,0.48,0.03,0.65,0.09,2.84,42.58,3.43,15.01,10.46,1.24,4.71,2.8,0.02,0.02,2.6,SSF,POT,0.17
S-417,3060.19,3863.12,4175.56,0.14,0.02,0.71,0.9,0.01,27.44,16.07,28.17,1.63,0.5,7.03,0.53,0.01,0.02,2.54,SSF,POT,0.29
S-530,3343.05,3724.24,4088.6,0.02,0,0.69,0.62,0.01,28.48,22.59,24.9,1.64,0.29,3.39,0.67,0.07,2.51,2.65,PRI,POT,0.44
S-1221,4006,3647.91,4488.46,0.32,0.02,0.85,0.09,8.39,33.19,1.18,13.34,20.03,2.28,1.7,4.52,0.01,0.03,2.64,SSF,POT,0.08
S-217,3089.65,3953.87,4344.17,0.36,0.02,0.49,0.3,0.04,33.86,14.8,33.81,0.99,1.12,5.46,0.6,0,0.03,2.57,SSF,POT,0.29
S-1206,2747.24,3696.12,4011.66,0.115946384,0.01,2.07,0.529632098,0.12,39.72,20.07,16.97,11.03,2.37,3.56,0.12,0.02,0.17,2.53,SSF,POT,0.36
S-348,3049.01,3860.19,4216.54,0.28,0.04,1.27,0.09,0.03,28.19,18.02,29.59,1.52,0.38,5.78,0.56,0.01,0.04,2.54,SSF,POT,0.38
S-1066,3933.63,3915.59,4470.41,0.454271567,0.11,0.87,0.215787045,0.65,32.01,8.53,26.54,12.71,0.75,2.8,2.03,0,0.09,2.57,SSF,POT,0.27
S-1137,3474.54,4206.83,4377.24,0.024541503,0.01,1.11,0.026846235,0.87,30.52,12.31,22.53,6.04,0.84,4.89,0.98,0.01,3.69,2.7,PRI,POT,0.45
S-386,2972.06,3933.61,4192.97,0.17,0.02,0.89,0.63,0.01,29,22.35,25.28,1.21,0.33,6.44,0.6,0,0.02,2.57,SSF,POT,0.32
S-968,3029.61,3799.28,4029.46,0.052066246,0,1,0.579934954,0.01,24.17,21.09,16.94,2.4,0.38,6.03,0.75,0.07,2.27,2.67,PRI,POT,0.42
S-144,1541.01,3759.66,4072.65,0.39,0.04,0.29,0.13,0.49,29.88,7.6,12.61,4.63,0.24,8.85,2.11,0.02,0.05,2.6,SSF,POT,0.21
S-1214,3980.33,4019.99,4398.81,0.27,0.01,0.96,0.1,1.6,29.11,5.77,34.49,18.08,0.41,2.32,1.8,0.01,0.03,2.55,SSF,POT,0.18
S-207,3658.45,3933.61,4387.65,0.55,0.16,1.99,0.46,0.03,25.92,11.1,39.09,5.68,0.52,8.11,1.75,0.01,0.02,2.56,SSF,POT,0.22
S-1208,3661.88,3638.68,4420.3,0.43,0.02,1.25,0.12,0.41,29.87,7.39,31.29,14.06,0.58,4.93,1.66,0.02,0.02,2.55,SSF,POT,0.16
S-1176,3499.95,3160.16,4119.45,0.005235827,0,1.31,0.006713858,3.2,22.31,5.38,3.74,5.92,1.29,8.2,4.51,0.06,0.78,2.75,PRI,CLO-SER,0.44
S-707,2396.91,3879.03,4010.51,0.41,0.01,2.15,1.02,0.04,24.01,19.9,30.22,6.19,0.92,5.88,0.84,0.01,0.41,2.58,SSF,POT,0.25
S-88,3624.63,3810.7,4403.55,0.5,0.05,0.9,0.09,2.62,31.48,12.66,26.17,5.6,1.51,3.04,2.58,0,0.02,2.59,SSF,POT,0.27
S-696,2538.72,3534.35,3931.51,0.01,0,0.91,0.28,0.09,27.6,16.71,22.26,3.04,0.24,5.24,0.5,0.03,3.4,2.66,PRI,POT,0.38
S-1274,1978.89,4247.8,4309.88,0.43,0.01,0.58,0.12,0.51,29.49,8.93,24.63,9.81,0.7,6.38,1.13,0.02,0.25,2.54,SSF,POT,0.19
S-1113,3183.35,4164.77,4344.53,0.014122628,0,1.16,0.176459648,0.02,21.56,11.64,16.25,2.46,0.46,6.88,0.93,0.03,5.09,2.67,SSD,POT,0.5
S-90,3444.58,4006.04,4379.73,0.95,0.01,1.4,0.06,0.39,30.21,15.33,28.51,2.03,2.28,4.85,1.31,0,0.01,2.56,SSF,POT,0.26
S-269,3528.41,3542.12,4302.51,0.04,0.02,0.74,0.81,0.16,38.16,16.27,16.07,2.9,1.5,2.41,2.09,0.12,7.83,2.54,SSF,POT,0.13
S-1260,2652.23,3456.25,3785.64,0.02,0,0.74,0.33,0.05,24.54,19.43,19.92,1.58,0.28,6.86,0.61,0.05,4.01,2.65,PRI,POT,0.37
S-1183,3674.18,3453.34,4231.36,0.00828461,0,1.34,0.008478113,2.88,59.28,1.87,4.87,27.1,0.69,0.05,0.98,0.01,0.07,2.73,SSD,POT,0.27
S-218,3555.37,4010.41,4329.44,0.03,0.02,1.55,0.24,0.54,31.1,13.54,25.88,7.97,0.88,4.11,1.47,0.06,5.07,2.57,PRI,POT,0.41
S-1097,1835.83,4300.14,4263.66,0.008891779,0,0.64,0.083626641,0.08,18.81,5.33,26.8,1.94,0.87,16.69,0.97,0.01,0.03,2.57,SSF,POT,0.27
S-80,3174.64,4102.54,4397.24,0.22,0.03,0.65,0.15,0.32,19.67,15.66,39.58,1.88,0.82,4.73,1.57,0,0.02,2.54,SSD,POT,0.34
S-732,2727.91,3480.98,3650.76,0.01,0.01,0.39,0.46,0.01,18.33,23.55,29.56,2.57,1.25,7.03,0.49,0.07,6.72,,PRI,POT,0.47
S-666,1790.23,3847.57,3978.13,0.33,0.02,0.72,0.07,0.39,28.88,5.37,15.33,11.51,0.42,6.62,1.39,0.01,0.06,2.61,SSF,POT,0.19
S-500,2981.53,3734.4,4083.33,0.16,0.04,0.87,0.64,0.07,28.74,18.35,25.7,2.6,0.87,4.74,0.96,0.01,0.19,2.59,SSF,POT,0.33
S-662,3053.86,3213.94,3949.73,0.01,0,1.62,0.2,0.01,26.23,10.32,12.21,8.67,0.24,7.42,1.03,0.08,3.84,2.7,PRI,POT,0.34
S-1027,3276.81,3249.9,4059.46,0.000238421,0,1.27,0.001239789,3.43,16.16,4.06,16.57,11.9,0.87,14.12,2.18,0.03,3.17,2.79,PRI,POT,0.27
S-1175,3495.69,3163.61,4130.13,0.002732574,0,1.91,0.014798509,3.71,19.19,6.38,3.01,12.9,1.58,10.05,3.6,0.03,0.96,2.8,PRI,CLO-SER,0.43
S-382,2930.67,3905.38,4193.03,0.17,0.01,0.33,0.34,0.25,26.45,18.29,22.16,1.53,0.49,6.46,0.85,0.01,0.03,2.57,SSF,POT,0.27
S-1240,2906.64,3382.21,3852.4,0.03,0,0.67,0.96,0.03,25.08,16.43,15.66,4.11,0.36,8.32,1.1,0.18,3.92,2.66,PRI,POT,0.43
S-649,2483.95,3549.64,3978.12,0.1,0.01,1.13,0.75,0.58,29.91,17.87,27.78,3.38,0.47,6.5,0.31,0.02,1.29,2.55,SSF,POT,0.29
S-40,3132.45,4078.14,4397.1,0.34,0.05,0.79,0.07,0.61,23.38,13.28,23.81,1.96,1.35,5.92,1.85,0.01,0.02,2.6,SSF,POT,0.32
S-31,1938.26,3859.28,4097.16,0.73,0.01,0.57,0.03,1.74,33.38,6.58,17.98,7.05,1.26,5.65,2.11,0,0.03,2.63,SSF,POT,0.23
S-222,2860.09,3387.46,3793.25,0.02,0.01,0.38,1.3,0.01,17.31,25.36,31.09,2.66,0.19,4.54,0.83,0.04,13.13,2.56,PRI,POT,0.4
S-572,2361.64,3801.97,3942.32,0.28,0.02,0.91,0.02,1.71,26.1,6.33,34.14,14.27,0.35,6.62,2,0.01,0.03,2.65,PRI,POT,0.46
S-56,3124.21,4055.5,4345.44,0.26,0.02,1.32,0.1,0.19,28.6,14.23,28.48,1.95,1.56,3.99,1.13,0,0.01,2.58,SSF,POT,0.35
S-24,1939.85,4084.88,4199.07,0.37,0.04,0.59,0.06,1.67,30.86,4.97,34.27,4.57,1.01,6.52,2.15,0,0.06,2.52,SSF,POT,0.21
S-618,3226.86,3400.34,4083.42,0.03,0,2.15,0.21,0.02,27.71,11.17,18.82,10.98,0.3,3.8,1.27,0.03,1.13,2.63,SSF,POT,0.22
S-111,3472.25,3585.28,4162.92,0.01,0,1.37,0.2,0.54,28.61,8.23,18.1,5.57,0.29,8.07,2.71,0.02,0.06,2.6,SSD,POT,0.22
S-109,3577.51,3720.52,4315.43,0.39,0.05,1.11,0.33,0.11,28.55,15.55,28.58,2.75,0.36,7.54,1.81,0.02,0.03,2.56,SSF,POT,0.26
S-518,2530.68,3871.32,4026.83,0.02,0,0.46,0.11,0.32,23.5,9.34,26.19,1.7,0.76,8.58,0.95,0.09,0.01,2.57,SSF,POT,0.23
S-339,3353.68,3378.18,4216.77,0.01,0,1.84,0.01,0.49,28.06,8.75,20.05,9.98,0.28,4.39,1.77,0,0.02,2.58,SSF,POT,0.22
S-191,2108.57,3467.43,3924.3,0.01,0,1.65,0.09,0.04,33.3,8.23,39.76,8.16,0.17,5.26,1.09,0,0.03,2.59,SSD,POT,0.22
S-4,2185.52,4101.31,4235.05,0.85,0.09,0.26,0.04,2.59,28.54,12.82,27.63,4.7,1.07,8.13,2.04,0.01,0.02,2.58,SSF,POT,0.22
S-370,3257.67,3948.47,4222.64,0.02,0,0.53,0.37,0.01,27.12,17.34,23.17,1.29,0.43,5.53,0.56,0.06,3.38,2.64,SSD,POT,0.55
S-115,2208.83,3813.21,4048.32,0.3,0.02,0.57,0.29,0.07,21.56,24.82,29.77,2.81,0.72,8.15,1.52,0.26,0.01,2.55,SSF,POT,0.16
S-615,3087.07,3419.12,3947.65,0.01,0,0.88,0.2,0.32,37.84,17.73,18.35,4.64,0.33,1.8,1.53,0.08,2.25,2.63,PRI,POT,0.36
S-1197,3820.12,3402.47,4222.42,0.006382971,0,0.67,0.000233032,2.54,45.71,15.86,18.2,12.56,0.88,0.34,0.44,0.09,0.05,2.63,SSF,POT,0.38
S-446,2030.14,3929.8,4050.75,0.48,0.08,1.61,0.28,0.59,28.93,10.91,18.52,15.47,1.54,5.53,2.13,0.01,0.03,2.58,SSF,POT,0.15
S-1130,2278.15,4255.31,4279.35,0.132585102,0.02,0.33,0.037495797,0.17,29.82,10.22,16.56,2.56,0.3,6.49,0.82,0.01,0.12,2.6,SSF,POT,0.3
S-1055,1875.22,3723.4,3901.85,0.148327376,0.04,1.06,0.048899387,0.58,29.41,6.83,15.43,12,1.34,7.44,0.72,0.01,0.2,2.59,SSF,POT,0.31
S-1032,3816.02,3886.9,4453.93,0.291309595,0.04,0.54,0.063278434,1.65,23.26,2.58,35.33,16.35,0.88,5.79,4.73,0.01,0.1,2.59,SSF,POT,0.14
S-568,2484.55,3513.84,3934.94,0.01,0,0.7,0.93,0.04,27.02,19.41,24.58,2.78,0.62,6.63,0.34,0.06,5.14,2.67,PRI,POT,0.36
S-1190,4229.81,3782.2,4462.09,0.078920849,0.02,0.98,0.056483239,3.05,30.25,0.67,24.65,22.56,1.18,1.58,5.71,0.01,0.1,2.52,SSF,AR,0.12
S-1008,3295.63,3428.97,4032.43,0.008049004,0,1.37,0.044870087,0.19,33.83,13.12,10.45,9.23,0.39,4.38,0.92,0.06,4.58,2.68,PRI,POT,0.38
S-472,2587.69,3706.89,4044.06,0.14,0.02,1.39,0.57,0,21.79,13.01,35.93,2.6,0.67,8.37,0.7,0,0.06,2.58,SSF,POT,0.22
S-1272,2073.11,4260.89,4290.38,0.47,0.02,0.75,0.11,0.56,28.38,11.52,24.12,6.13,0.76,7.11,1.15,0.02,0.09,2.57,SSF,POT,0.23
